File,Number of tasks,Solver run time
result_test1.txt,6,0.12992358207702637
result_test2.txt,10,0.09908294677734375
result_test3.txt,10,0.08901715278625488
result_test4.txt,13,0.08896183967590332
result_test5.txt,14,0.08581137657165527
result_test6.txt,15,0.11230015754699707
result_test7.txt,13,0.1069788932800293
result_test8.txt,16,0.10161018371582031
result_test9.txt,18,0.12064528465270996
result_test10.txt,19,0.10392069816589355
result_test11.txt,19,0.11463236808776855
result_test12.txt,21,0.12846970558166504
result_test13.txt,20,0.11902785301208496
result_test14.txt,20,0.10448789596557617
result_test15.txt,24,0.11273765563964844
result_test16.txt,24,0.11960506439208984
result_test17.txt,26,0.12866878509521484
result_test18.txt,26,0.14397859573364258
result_test19.txt,28,0.13565444946289062
result_test20.txt,27,0.10403132438659668
result_test21.txt,30,0.11815500259399414
result_test22.txt,25,0.12282323837280273
result_test23.txt,28,0.12275409698486328
result_test24.txt,32,0.14288902282714844
result_test25.txt,34,0.12734484672546387
result_test26.txt,33,0.18120670318603516
result_test27.txt,36,0.1281590461730957
result_test28.txt,36,0.12598729133605957
result_test29.txt,38,0.19334697723388672
result_test30.txt,38,0.19725775718688965
result_test31.txt,40,0.16696381568908691
result_test32.txt,39,0.1745164394378662
result_test33.txt,42,0.11370182037353516
result_test34.txt,41,0.11369943618774414
result_test35.txt,42,0.15183353424072266
result_test36.txt,45,0.14119958877563477
result_test37.txt,46,0.22470307350158691
result_test38.txt,46,0.1245732307434082
result_test39.txt,46,0.2013399600982666
result_test40.txt,49,0.19136309623718262
result_test41.txt,48,0.21075987815856934
result_test42.txt,59,0.6149201393127441
result_test43.txt,69,0.38565778732299805
result_test44.txt,80,0.9093563556671143
result_test45.txt,89,1.08782958984375
result_test46.txt,100,0.8622543811798096
result_test47.txt,97,0.48953723907470703
result_test48.txt,120,1.7555408477783203
result_test49.txt,130,1.6719698905944824
result_test50.txt,140,2.394920825958252
result_test51.txt,148,1.897054672241211
result_test52.txt,155,1.582062005996704
result_test53.txt,170,2.5646843910217285
result_test54.txt,180,1.807180643081665
result_test55.txt,189,3.8466217517852783
result_test56.txt,190,1.637197732925415
result_test57.txt,300,6.67800235748291
result_test58.txt,350,9.627416372299194
result_test59.txt,398,11.114222288131714
result_test60.txt,442,23.623644590377808
result_test61.txt,495,37.754870653152466
result_test62.txt,536,21.91978096961975
result_test63.txt,593,67.78731155395508
result_test64.txt,615,43.02512168884277
result_test65.txt,676,49.83868455886841
result_test66.txt,743,63.40907335281372
result_test67.txt,778,50.083362102508545
result_test68.txt,850,74.63457608222961
result_test69.txt,900,88.51998209953308
result_test70.txt,948,91.15107035636902
result_test71.txt,990,95.3068859577179
