File,Number of tasks,Solver run time
result_test1.txt,6,0.0009996891021728516
result_test2.txt,10,0.001033782958984375
result_test3.txt,10,0.0010001659393310547
result_test4.txt,13,0.00099945068359375
result_test5.txt,14,0.0019989013671875
result_test6.txt,15,0.002000570297241211
result_test7.txt,13,0.002073049545288086
result_test8.txt,16,0.001999378204345703
result_test9.txt,18,0.0020008087158203125
result_test10.txt,19,0.003000974655151367
result_test11.txt,19,0.0025064945220947266
result_test12.txt,21,0.001999378204345703
result_test13.txt,20,0.0019998550415039062
result_test14.txt,20,0.003502368927001953
result_test15.txt,24,0.0030031204223632812
result_test16.txt,24,0.004000425338745117
result_test17.txt,26,0.0025005340576171875
result_test18.txt,26,0.0029993057250976562
result_test19.txt,28,0.003000020980834961
result_test20.txt,27,0.0045070648193359375
result_test21.txt,30,0.002999544143676758
result_test22.txt,25,0.003504514694213867
result_test23.txt,28,0.004004716873168945
result_test24.txt,32,0.004003763198852539
result_test25.txt,34,0.0022077560424804688
result_test26.txt,33,0.0030012130737304688
result_test27.txt,36,0.0035085678100585938
result_test28.txt,36,0.005513668060302734
result_test29.txt,38,0.003997802734375
result_test30.txt,38,0.004046916961669922
result_test31.txt,40,0.003998756408691406
result_test32.txt,39,0.0030694007873535156
result_test33.txt,42,0.004998445510864258
result_test34.txt,41,0.004088163375854492
result_test35.txt,42,0.003999471664428711
result_test36.txt,45,0.003998994827270508
result_test37.txt,46,0.0039997100830078125
result_test38.txt,45,0.006512641906738281
result_test39.txt,46,0.003999471664428711
result_test40.txt,49,0.005032777786254883
result_test41.txt,48,0.005002021789550781
result_test42.txt,59,0.006035327911376953
result_test43.txt,69,0.0070002079010009766
result_test44.txt,80,0.007024526596069336
result_test45.txt,89,0.008034706115722656
result_test46.txt,100,0.008021354675292969
result_test47.txt,97,0.008126258850097656
result_test48.txt,120,0.009507417678833008
result_test49.txt,130,0.00903463363647461
result_test50.txt,140,0.010190248489379883
result_test51.txt,148,0.010081291198730469
result_test52.txt,155,0.011026144027709961
result_test53.txt,170,0.012036323547363281
result_test54.txt,180,0.012046098709106445
result_test55.txt,189,0.012576580047607422
result_test56.txt,190,0.013017892837524414
result_test57.txt,300,0.021015405654907227
result_test58.txt,350,0.024033784866333008
result_test59.txt,390,0.030988693237304688
result_test60.txt,442,0.032460689544677734
result_test61.txt,486,0.04060220718383789
result_test62.txt,517,0.04581618309020996
result_test63.txt,590,0.04617786407470703
result_test64.txt,603,0.07347798347473145
result_test65.txt,627,0.07257080078125
result_test66.txt,735,0.06623053550720215
result_test67.txt,735,0.07384347915649414
result_test68.txt,834,0.0672614574432373
result_test69.txt,881,0.07569098472595215
result_test70.txt,915,0.07788586616516113
result_test71.txt,925,0.09293556213378906
