File,Number of tasks,Solver run time
result_test1.txt,6,0.0010018348693847656
result_test2.txt,10,0.008600473403930664
result_test3.txt,10,0.007066488265991211
result_test4.txt,13,0.008001327514648438
result_test5.txt,14,0.008017539978027344
result_test6.txt,15,0.009227514266967773
result_test7.txt,13,0.005512714385986328
result_test8.txt,16,0.009262561798095703
result_test9.txt,18,0.0095062255859375
result_test10.txt,19,0.008507966995239258
result_test11.txt,19,0.007999658584594727
result_test12.txt,21,0.0070688724517822266
result_test13.txt,20,0.007514476776123047
result_test14.txt,20,0.009034395217895508
result_test15.txt,24,0.00804448127746582
result_test16.txt,24,0.008262872695922852
result_test17.txt,26,0.008000612258911133
result_test18.txt,26,0.008500814437866211
result_test19.txt,28,0.010513782501220703
result_test20.txt,27,0.00821828842163086
result_test21.txt,30,0.008510351181030273
result_test22.txt,25,0.009517431259155273
result_test23.txt,28,0.010510921478271484
result_test24.txt,32,0.0105133056640625
result_test25.txt,34,0.00947117805480957
result_test26.txt,33,0.01018977165222168
result_test27.txt,36,0.009428739547729492
result_test28.txt,36,0.009513378143310547
result_test29.txt,38,0.010275125503540039
result_test30.txt,38,0.010509252548217773
result_test31.txt,40,0.0102386474609375
result_test32.txt,39,0.009508132934570312
result_test33.txt,42,0.010513782501220703
result_test34.txt,41,0.010461568832397461
result_test35.txt,42,0.008283853530883789
result_test36.txt,45,0.010231971740722656
result_test37.txt,46,0.007511615753173828
result_test38.txt,46,0.010509490966796875
result_test39.txt,46,0.010066986083984375
result_test40.txt,49,0.009504556655883789
result_test41.txt,48,0.009509801864624023
result_test42.txt,59,0.011248588562011719
result_test43.txt,69,0.010509252548217773
result_test44.txt,80,0.012253999710083008
result_test45.txt,89,0.013505935668945312
result_test46.txt,100,0.014879703521728516
result_test47.txt,97,0.015506744384765625
result_test48.txt,120,0.013767242431640625
result_test49.txt,130,0.015509605407714844
result_test50.txt,140,0.014576435089111328
result_test51.txt,148,0.017496824264526367
result_test52.txt,155,0.019565343856811523
result_test53.txt,170,0.021229982376098633
result_test54.txt,180,0.029013872146606445
result_test55.txt,189,0.04285120964050293
result_test56.txt,190,0.03205537796020508
result_test57.txt,300,0.03606557846069336
result_test58.txt,350,0.04700112342834473
result_test59.txt,398,0.04829883575439453
result_test60.txt,442,0.048366546630859375
result_test61.txt,495,0.05196857452392578
result_test62.txt,536,0.0975797176361084
result_test63.txt,593,0.06917071342468262
result_test64.txt,640,0.11348819732666016
result_test65.txt,684,0.12975382804870605
result_test66.txt,743,0.10521697998046875
result_test67.txt,778,0.12613701820373535
result_test68.txt,850,0.12378072738647461
result_test69.txt,900,0.10900735855102539
result_test70.txt,948,0.13562774658203125
result_test71.txt,990,0.1685185432434082
