File,N,ANSWER,TIME
result_test1.txt,10,8,0.002000093460083008
result_test2.txt,15,15,0.0033600330352783203
result_test3.txt,20,13,0.002000570297241211
result_test4.txt,25,25,0.004999637603759766
result_test5.txt,30,29,0.004509687423706055
result_test6.txt,35,34,0.004998445510864258
result_test7.txt,40,37,0.005507469177246094
result_test8.txt,45,44,0.006502628326416016
result_test9.txt,50,49,0.008008718490600586
result_test10.txt,55,55,0.00750732421875
result_test11.txt,60,52,0.013507843017578125
result_test12.txt,65,40,0.010101795196533203
result_test13.txt,70,70,0.010605335235595703
result_test14.txt,75,52,0.008506536483764648
result_test15.txt,80,80,0.01112222671508789
result_test16.txt,85,78,0.011202096939086914
result_test17.txt,90,87,0.01250767707824707
result_test18.txt,95,94,0.011243581771850586
result_test19.txt,100,98,0.012017488479614258
result_test20.txt,120,119,0.01511693000793457
result_test21.txt,140,138,0.01758289337158203
result_test22.txt,160,159,0.018120527267456055
result_test23.txt,180,177,0.02025127410888672
result_test24.txt,200,184,0.023648500442504883
result_test25.txt,300,299,0.03567028045654297
result_test26.txt,400,398,0.05291891098022461
result_test27.txt,500,488,0.05942058563232422
result_test28.txt,600,581,0.07916045188903809
result_test29.txt,700,684,0.0911109447479248
result_test30.txt,800,717,0.09798789024353027
result_test31.txt,900,807,0.13091444969177246
result_test32.txt,1000,950,0.12888693809509277
